AppID,Name,Positive_ratings,Negative_ratings,Price,Rating_difference
263380,Driftmoon,223,28,14.99,195
263340,Continue?9876543210,97,78,9.99,19
262550,Gunman Clive,656,86,1.99,570
264320,Captain Morgane and the Golden Turtle,102,66,4.99,36
263680,Unearthed: Trail of Ibn Battuta - Episode 1 - Gold Edition,429,380,4.99,49
252150,Grimm,30690,912,0.0,29778
237950,UFO: Afterlight,285,164,6.99,121
246420,Kingdom Rush  - Tower Defense,9511,288,9.99,9223
251810,Leadwerks Game Engine,252,90,49.99,162
264730,Deadly 30,1264,399,0.99,865
264240,CONSORTIUM,1082,427,9.99,655
260650,Cold War,157,79,4.99,78
235460,METAL GEAR RISING: REVENGEANCE,46628,2181,29.99,44447
267670,Realms of Arkania 1 - Blade of Destiny Classic,70,32,0.99,38
263400,War of the Human Tanks,450,72,9.99,378
270760,Realms of Arkania 3 - Shadows over Riva Classic,48,14,0.99,34
263360,3089 -- Futuristic Action RPG,385,159,6.99,226
270750,Realms of Arkania 2 - Star Trail Classic,40,11,0.99,29
262770,Freedom Fall,354,29,9.99,325
94400,Nidhogg,6458,774,9.99,5684
237990,The Banner Saga,12728,1551,24.99,11177
260210,Assassin’s Creed® Liberation HD,1254,1112,19.99,142
257970,Loren The Amazon Princess,455,100,19.99,355
267920,Gun Metal,736,190,2.99,546
267900,Guilty Gear Isuka,207,192,9.99,15
245050,SpellForce 2 - Demons of the Past,135,139,19.99,-4
261740,Humans Must Answer,37,22,4.99,15
255370,KickBeat Steam Edition,504,252,9.99,252
247430,Hitman: Contracts,1835,277,8.99,1558
249650,Blackguards,2122,1301,0.99,821
222880,Insurgency,113659,10261,14.99,103398
257630,Blast Em!,136,161,0.0,-25
263560,Paper Sorcerer,474,127,4.99,347
267940,Glacier 3: The Meltdown,122,328,2.99,-206
267960,Hyper Fighters,100,322,2.99,-222
238750,Might & Magic X - Legacy,1949,1016,29.99,933
272040,KAMI,1112,48,3.99,1064
259640,Guise Of The Wolf,77,133,2.99,-56
270850,Car Mechanic Simulator 2014,4023,832,6.99,3191
264460,A-Men,25,28,9.99,-3
235320,Original War,1610,91,4.99,1519
263200,Signs of Life,608,154,9.99,454
232790,Broken Age,6169,1220,14.99,4949
269610,Arcane Worlds,112,111,9.99,1
246700,Strike Vector,1517,726,0.0,791
269150,Luxuria Superbia,176,72,6.99,104
262790,Our Darker Purpose,591,129,14.99,462
249570,The Castle Doctrine,188,189,3.99,-1
269210,Hero Siege,24997,8181,6.99,16816
263320,Saturday Morning RPG,389,115,6.99,274
272060,Serena,4875,1431,0.0,3444
271550,Tribloos 2,235,45,4.99,190
253790,rymdkapsel,199,41,7.99,158
267130,Star Swarm Stress Test,285,30,0.0,255
224480,Octodad: Dadliest Catch,8199,575,14.99,7624
267980,Hostile Waters: Antaeus Rising,304,96,2.99,208
270950,Ski Region Simulator - Gold Edition,358,85,8.99,273
271500,Sniper Art of Victory,510,1207,2.99,-697
269230,Aces Wild: Manic Brawling Action!,266,74,9.99,192
269430,Burning Cars,4,34,5.99,-30
275350,Sentinel 3: Homeworld,101,22,6.99,79
263880,Aqua Kitty - Milk Mine Defender,404,59,6.99,345
253430,CastleMiner Z,7382,2006,3.99,5376
219700,Dogs of War Online,449,251,0.0,198
237890,Agarest: Generations of War,1295,513,14.99,782
268890,Masters of the World - Geopolitical Simulator 3,258,320,34.99,-62
259740,Nightmares from the Deep: The Cursed Heart,1432,132,0.0,1300
271860,Super Killer Hornet: Resurrection,502,299,4.99,203
262260,Jets'n'Guns Gold,1192,170,6.99,1022
252010,Oniken: Unstoppable Edition,688,154,4.99,534
244430,realMyst: Masterpiece Edition,1124,148,17.99,976
263420,Probably Archery,173,207,4.99,-34
262690,Little Racers STREET,851,178,5.99,673
262450,Dead Man's Draw,495,94,6.99,401
252350,Double Dragon: Neon,1794,528,9.99,1266
236130,Horizon,264,187,29.99,77
254880,MoonBase Commander,134,15,5.99,119
266330,Ethan: Meteor Hunter,140,89,9.99,51
250260,Jazzpunk: Director's Cut,5733,455,14.99,5278
267530,The LEGO® Movie - Videogame,3178,515,19.99,2663
272010,Aveyond 3-1: Lord of Twilight,93,47,9.99,46
268670,The Memory of Eldurim,100,142,0.99,-42
269370,Reaper - Tale of a Pale Swordsman,288,136,5.99,152
269270,LOVE,1019,103,2.99,916
236510,Takedown: Red Sabre,2276,3332,4.99,-1056
273570,Descent,368,10,9.99,358
275290,Graviteam Tactics: Operation Star,367,76,29.99,291
273770,Game Tycoon 1.5,100,552,0.49,-452
259870,OMG Zombies!,301,71,4.99,230
270090,//N.P.P.D. RUSH//- The milk of Ultraviolet,254,515,3.99,-261
265380,Grimind,174,95,9.99,79
269470,MorphVOX Pro 4 - Voice Changer (Old),328,257,39.99,71
270790,Etherlords II,325,66,4.99,259
268260,Let's Sing,74,76,2.99,-2
265690,NaissanceE,2237,441,0.0,1796
269570,Gamer To Game Developer Series 1: More Than a Gamer,71,19,24.99,52
270770,Etherlords,84,117,4.99,-33
263300,BlazBlue: Calamity Trigger,2448,399,1.49,2049
271820,Card City Nights,835,106,4.99,729
224040,LocoCycle,242,64,9.99,178
263460,Girls Like Robots,176,75,6.99,101
250180,METAL SLUG 3,6595,763,7.99,5832
257870,Eschalon: Book III,58,19,9.99,39
10270,Disciples III: Reincarnation,1060,414,9.99,646
261960,Cube & Star: An Arbitrary Love,81,54,4.99,27
250600,The Plan,20311,1707,0.0,18604
252430,Dusty Revenge:Co-Op Edition,82,131,14.99,-49
259810,Home Sheep Home: Farmageddon Party Edition,179,10,9.99,169
261680,Journal,267,75,9.99,192
262980,C-RUSH,24,81,1.99,-57
264160,WazHack,581,74,9.99,507
39210,FINAL FANTASY XIV Online,51918,6493,19.99,45425
275830,7 Wonders: Magical Mystery Tour,93,10,6.99,83
253750,Ikaruga,1836,106,9.99,1730
274480,Drox Operative,274,31,19.99,243
275810,7 Wonders of the Ancient World,115,45,6.99,70
242920,Banished,34544,3737,19.99,30807
271900,Hexcells Plus,2061,122,2.99,1939
209060,Drunken Robot Pornography,546,101,7.49,445
264280,99 Levels To Hell,362,225,4.99,137
265890,Hexcells,4820,164,0.89,4656
273580,Descent 2,108,7,9.99,101
235210,STRIDER™ / ストライダー飛竜®,2747,555,14.99,2192
271640,Humanity Asset,149,336,1.99,-187
261720,Holy Avatar vs. Maidens of the Dead,82,61,0.99,21
263820,EvilQuest,563,76,1.99,487
278460,Skyborn,1436,218,14.99,1218
274130,Rambo The Video Game + Baker Team DLC,320,233,0.0,87
246800,BeatBlasters III,33,51,9.99,-18
251870,Go! Go! Nippon! ~My First Trip to Japan~,2684,413,4.99,2271
278890,Angvik,2075,289,2.99,1786
269290,liteCam Game: 100 FPS Game Capture,267,263,14.99,4
233350,Sudeki,680,98,5.99,582
264340,Major Mayhem,230,47,4.99,183
279160,Ultionus: A Tale of Petty Revenge,203,106,6.99,97
277590,Assassin's Creed Freedom Cry,1417,443,14.99,974
265610,Epic Battle Fantasy 4,2695,92,11.99,2603
247000,Talisman: Digital Edition,6029,1681,6.99,4348
239250,Castlevania: Lords of Shadow 2,3609,674,39.99,2935
236470,PAC-MAN MUSEUM™,167,98,0.0,69
273940,Warehouse and Logistics Simulator,100,172,0.99,-72
262080,Iron Soul,11,50,4.99,-39
266250,Procyon,104,14,3.99,90
269030,The Yawhg,1106,240,9.99,866
239160,Thief,15660,5510,19.99,10150
258760,Scania Truck Driving Simulator,1296,329,9.99,967
254700,Resident Evil 4,43939,4257,19.99,39682
266210,One Way Heroics,3659,224,3.49,3435
266290,Helicopter Simulator 2014: Search and Rescue,113,231,6.99,-118
262590,Chuck's Challenge 3D 2020,172,24,9.99,148
213670,South Park™: The Stick of Truth™,49611,1235,29.99,48376
264200,One Finger Death Punch,15610,313,4.99,15297
262150,Vanguard Princess,2014,841,2.49,1173
266110,Tower of Guns,916,219,14.99,697
277910,Mars Colony:Challenger,78,44,4.99,34
273820,Mining & Tunneling Simulator,27,104,1.99,-77
271670,10 Second Ninja,630,106,1.99,524
277870,Diehard Dungeon,352,118,1.99,234
251390,Call of Cthulhu: The Wasted Land,131,63,0.0,68
283290,Nosferatu: The Wrath of Malachi,2311,345,2.99,1966
283390,Incoming Forces,176,149,2.99,27
278930,GIGANTIC ARMY,257,79,5.99,178
204530,Infested Planet,2526,165,14.99,2361
277270,Return to Mysterious Island 2,102,52,1.19,50
277110,Return to Mysterious Island,270,56,7.99,214
269050,Year Walk,1722,168,5.99,1554
257790,Riptide GP2,409,48,6.99,361
262490,Manga Maker Comipo,540,165,49.99,375
275080,Post Master,123,162,4.99,-39
263620,Mitsurugi Kamui Hikae,2582,636,9.99,1946
254460,Obscure,1548,76,6.99,1472
254480,Obscure II (Obscure: The Aftermath),658,158,9.99,500
214550,Eets Munchies,572,136,6.99,436
280640,Dark Shadows - Army of Evil,85,189,4.99,-104
255280,1954 Alcatraz,1049,390,0.99,659
270310,Dominique Pamplemousse,319,105,0.99,214
273760,Towtruck Simulator 2015,51,252,1.99,-201
266170,Windforge,395,190,9.99,205
251470,TowerFall Ascension,2795,155,14.99,2640
251510,Constant C,44,6,9.99,38
285520,Sledgehammer / Gear Grinder,93,32,7.99,61
268400,Panzer Corps Gold,1997,173,29.99,1824
261880,Corporate Lifestyle Simulator,535,110,4.99,425
275570,Summoner,340,72,4.99,268
263500,Dragons and Titans,2681,754,0.0,1927
266230,Last Dream,412,80,9.99,332
281390,ORB,71,20,4.99,51
283310,Soulbringer,134,88,2.99,46
283410,CT Special Forces: Fire for Effect,129,106,2.99,23
281430,Clans,78,52,0.59,26
286810,Hard Truck Apocalypse: Rise Of Clans / Ex Machina: Meridian 113,514,176,5.99,338
277470,The Book of Legends,179,84,9.99,95
284290,Farm Machines Championships 2014,47,73,0.0,-26
285500,Hard Truck Apocalypse / Ex Machina,1720,333,7.99,1387
286830,Hard Truck Apocalypse: Arcade / Ex Machina: Arcade,57,144,4.99,-87
266010,LYNE,7589,328,2.99,7261
285800,Braveland,2355,512,6.99,1843
258180,Deus Ex: The Fall,1427,2610,9.99,-1183
265870,Alpha Kimori™ 1,126,90,9.99,36
267220,Line Of Defense Tactics - Tactical Advantage,1,18,9.99,-17
270330,Ku: Shroud of the Morrigan,23,65,4.99,-42
280560,Danmaku Unlimited 2,403,27,4.99,376
281260,Desert Gunner,30,37,2.99,-7
233150,LUFTRAUSERS,3791,361,9.99,3430
274560,Revolution Ace,1384,536,4.99,848
280500,KRUNCH,34,16,9.99,18
283330,Desert Thunder,97,141,2.99,-44
283430,Litil Divil,202,232,2.99,-30
274980,Influent,1097,375,0.0,722
283880,Heroine's Quest: The Herald of Ragnarok,1112,153,0.0,959
251210,Hive,235,31,9.99,204
262390,Cloudbuilt,749,130,19.99,619
283000,Strategic War in Europe,67,90,1.49,-23
283490,IHF Handball Challenge 12,45,29,2.99,16
252230,YAIBA: NINJA GAIDEN Z,501,274,29.99,227
266130,Breach & Clear,1930,413,14.99,1517
269350,Montas,64,98,9.99,-34
255340,Escape Goat 2,377,18,9.99,359
243120,Betrayer,2998,669,0.0,2329
209160,Call of Duty®: Ghosts,17030,10793,59.99,6237
270050,Quest of Dungeons,517,162,4.99,355
281410,Ubersoldier II,340,118,0.99,222
279420,Gardens Inc. – From Rakes to Riches,73,10,9.99,63
209170,Call of Duty®: Ghosts,15087,10789,59.99,4298
218820,Mercenary Kings: Reloaded Edition,1659,692,19.99,967
281820,Explodemon,63,34,0.89,29
265950,Ether One,312,109,19.99,203
276360,Riding Star - Horse Championship!,59,28,9.99,31
280220,Creeper World 3: Arc Eternal,3944,143,14.99,3801
265240,Crazy Machines: Golden Gears,9,22,9.99,-13
282530,Castlevania: Lords of Shadow – Mirror of Fate HD,1407,284,14.99,1123
276340,My Riding Stables: Life with Horses,171,29,14.99,142
269810,Spate,260,106,0.0,154
276240,My Vet Practice - In the Country,16,7,14.99,9
281860,RefleX,183,24,7.99,159
252050,Construction Machines 2014,36,275,6.99,-239
265990,Rogue's Tale,428,167,6.99,261
256370,MXGP - The Official Motocross Videogame,1044,280,9.99,764
277930,TUG,357,638,0.0,-281
278530,3 Stars of Destiny,126,86,14.99,40
264540,Platformines,198,106,0.99,92
270550,Yet Another Zombie Defense,10433,1620,0.0,8813
235340,Prime World,2215,1592,0.0,623
226840,Age of Wonders III,9041,2221,7.49,6820
260570,Gray Matter,562,64,9.99,498
269490,Bardbarian,1291,165,7.99,1126
281370,Real Horror Stories Ultimate Edition,497,781,1.99,-284
265930,Goat Simulator,53579,5950,9.99,47629
267490,Batman™: Arkham Origins Blackgate - Deluxe Edition,840,1217,19.99,-377
286460,Black Mirror II,439,49,9.99,390
282880,FaeVerse Alchemy,215,113,0.0,102
227560,Scourge: Outbreak,350,192,5.99,158
286480,Black Mirror III,342,37,9.99,305
289280,El Matador,271,120,3.99,151
289440,Perimeter,160,33,3.99,127
283370,Marine Sharpshooter II: Jungle Warfare,177,382,2.99,-205
284710,Abyss: The Wraiths of Eden,1182,122,9.99,1060
289340,Freight Tycoon Inc.,211,192,4.99,19
289380,Konung 3: Ties of the Dynasty,62,26,0.59,36
288040,Actual Sunlight,415,137,4.99,278
240970,Half Minute Hero: The Second Coming,488,41,9.99,447
289600,Marauder,433,169,9.99,264
286320,Oknytt,480,40,4.99,440
287020,Harvester,905,88,5.99,817
277430,Halo: Spartan Assault,3354,865,2.99,2489
269110,Super Motherload,539,165,14.99,374
291290,Motte Island,66,17,4.99,49
283560,Munich Bus Simulator,155,117,14.99,38
286660,Avoid - Sensory Overload,174,32,4.99,142
285160,LEGO® The Hobbit™,6394,1543,19.99,4851
288370,Strike Suit Zero: Director's Cut,266,62,19.99,204
288840,Haunted Past: Realm of Ghosts,124,29,4.99,95
205990,Warlock 2: The Exiled,781,345,19.99,436
277450,Imperial Glory,838,252,4.99,586
258590,Adventure Time: Finn and Jake's Epic Quest,331,122,9.99,209
280910,T.E.C. 3001,350,41,0.0,309
289620,Collapse,520,201,19.99,319
267340,Beware Planet Earth,200,87,9.99,113
291450,Smugglers 5,87,65,9.99,22
277460,Praetorians,467,115,4.99,352
290280,Volt,265,120,0.99,145
280200,Eterium,45,48,0.0,-3
273590,Descent 3,52,25,9.99,27
292670,Princess Isabella - Return of the Curse,71,22,4.99,49
292660,Princess Isabella,104,35,0.74,69
249550,NEStalgia,229,128,9.99,101
264520,Moebius: Empire Rising,228,74,14.99,154
268240,Mechanic Escape,667,111,4.99,556
263740,FootLOL: Epic Soccer League,878,166,9.99,712
289500,UFO: Aftershock,139,46,3.99,93
287070,Battle Academy,236,41,14.99,195
286200,ReignMaker,201,117,14.99,84
289300,Faces of War,778,103,4.99,675
289420,Planet Alcatraz,416,83,3.99,333
289400,Parkan 2,219,90,3.99,129
280830,Foosball - Street Edition,127,52,4.99,75
292060,Titanfall - The Final Hours,100,189,0.99,-89
286540,Nearwood - Collector's Edition,248,26,9.99,222
289260,Dreamscapes: The Sandman - Premium Edition,183,37,6.99,146
289800,Dracula: The Resurrection,187,213,0.54,-26
276890,FATE: Undiscovered Realms,249,70,7.99,179
251060,Wargame: Red Dragon,14379,1750,29.99,12629
289820,Dracula 2: The Last Sanctuary,63,154,0.54,-91
283960,Pajama Sam: No Need to Hide When It's Dark Outside,940,21,6.99,919
246680,Secrets of Rætikon,277,183,9.99,94
282760,Circuits,1848,224,4.99,1624
284000,Putt-Putt® and Pep's Balloon-o-Rama,62,11,4.99,51
293420,Heldric - The legend of the shoemaker,31,17,0.0,14
283980,Spy Fox in Dry Cereal,403,18,6.99,385
263540,Villagers and Heroes,1905,1283,0.0,622
284020,Freddi Fish and Luther's Maze Madness,50,12,4.99,38
283940,Freddi Fish and the Case of the Missing Kelp Seeds,503,17,6.99,486
271570,Space Farmers,1367,468,9.99,899
260130,Agarest: Generations of War Zero,266,87,19.99,179
284950,Pixel Puzzles: Japan,2019,453,0.0,1566
283920,Putt-Putt® Joins the Parade,243,15,6.99,228
250050,Life Goes On: Done to Death,2167,88,12.99,2079
289840,Dracula 3: The Path of the Dragon,71,146,7.99,-75
291030,Always Remember Me,161,106,8.99,55
282400,SuperPower 2 Steam Edition,1866,467,9.99,1399
286120,QuestRun,429,375,2.99,54
293180,Overcast - Walden and the Werewolf,1661,1078,0.51,583
294230,Millie,563,131,3.99,432
283180,The Samaritan Paradox,145,54,4.99,91
278490,Aveyond 3-2: Gates of Night,66,41,9.99,25
273070,The Last Federation,361,114,19.99,247
243220,FRACT OSC,482,82,14.99,400
291270,Vitrum,30,40,1.99,-10
283270,Jagged Alliance 1: Gold Edition,274,74,9.99,200
289360,Konung 2,130,27,0.59,103
295990,Evopollution,35,90,4.99,-55
289460,RC Cars,273,89,2.99,184
289200,Ascension to the Throne,416,55,2.99,361
286520,Viking Brothers,29,13,9.99,16
292160,UFO: Aftermath,182,48,3.99,134
291190,Heroes of Steel RPG,197,55,9.99,142
289220,BorderZone,39,59,2.99,-20
297570,Warrior Kings,69,30,9.99,39
284830,Clockwork Tales: Of Glass and Ink,957,86,9.99,871
297620,Rocko's Quest,34,24,4.99,10
252570,Depths of Fear :: Knossos,273,143,0.0,130
295770,Rogue Shooter: The FPS Roguelike,271,91,4.99,180
245490,Trials Fusion™,1413,641,19.99,772
264080,Vangers,810,68,6.99,742
281280,Mashed,348,95,4.99,253
287720,Nostradamus: The Last Prophecy,130,54,0.99,76
292390,Realms of the Haunting,347,105,2.99,242
292410,Street Racing Syndicate,2806,550,2.99,2256
236930,Blackwell Epiphany,724,15,9.99,709
207230,ArcheBlade™,5673,2071,0.0,3602
286340,FarSky,2868,990,0.0,1878
283660,Rabbit Hole 3D: Steam Edition,199,115,2.99,84
296240,The Promised Land,587,97,0.69,490
275490,Canyon Capers,862,1054,6.99,-192
275470,Chip,943,190,1.49,753
236430,DARK SOULS™ II,35161,4391,39.99,30770
280140,Millennium - A New Hope,286,99,5.99,187
280930,Battlepillars Gold Edition,275,43,4.99,232
281240,Adventure Chronicles: The Search For Lost Treasure,54,31,4.99,23
256290,Child of Light,11491,921,14.99,10570
296220,Farm Frenzy 4,292,73,1.04,219
230840,Daylight,778,765,4.99,13
296210,Brigade E5: New Jagged Union,73,34,3.99,39
281220,BloodRayne Betrayal (Legacy),525,339,0.0,186
250640,[Old Edition] Croixleur Sigma,271,68,0.0,203
279500,Nicolas Eymerich - The Inquisitor - Book 1 : The Plague,58,34,4.99,24
289890,"7,62 High Calibre",305,93,4.99,212
294710,Putt-Putt® and Pep's Dog on a Stick,44,6,4.99,38
264220,Mr. Bree+,193,34,2.99,159
292780,Pajama Sam 2: Thunder And Lightning Aren't So Frightening,239,6,6.99,233
242720,GunZ 2: The Second Duel,7013,3576,0.0,3437
287100,Chaos Domain,259,576,4.99,-317
294530,Freddi Fish 2: The Case of the Haunted Schoolhouse,230,6,6.99,224
266050,Into the Dark: Ultimate Trash Edition,97,125,4.99,-28
274880,Jet Car Stunts,114,42,2.99,72
294770,Haegemonia: Legions of Iron,45,24,4.99,21
292240,Spy Fox 2 Some Assembly Required,137,11,6.99,126
293680,Cinders,660,98,19.99,562
242880,"Sir, You Are Being Hunted",2960,841,19.99,2119
277500,Farming World,117,183,4.99,-66
291130,Akane the Kunoichi,351,374,2.99,-23
283350,Eurofighter Typhoon,50,160,2.99,-110
291050,Planet Stronghold,60,41,18.99,19
358260,Crystal Caves,90,16,4.99,74
358180,Bio Menace,47,9,0.0,38
358350,Secret Agent,78,14,4.99,64
358400,Shadow Warrior (Classic),22,10,0.0,12
298180,The Desolate Hope,1099,101,0.0,998
358410,Rise of the Triad: Dark War,82,13,6.99,69
358170,Arctic Adventure,27,20,0.0,7
296910,8BitBoy™,1405,511,6.99,894
358270,Death Rally (Classic),449,48,0.0,401
358370,Terminal Velocity,57,8,6.99,49
358390,Stargunner,82,16,0.0,66
294650,Putt-Putt® Goes to the Moon,169,14,6.99,155
358200,Math Rescue,44,11,4.99,33
358250,Cosmo's Cosmic Adventure,85,16,4.99,69
358340,Word Rescue,47,21,4.99,26
358290,Hocus Pocus,104,19,4.99,85
358380,Wacky Wheels,99,27,4.99,72
299070,Warrior Kings: Battles,210,19,9.99,191
264060,Full Bore,189,35,14.99,154
286100,You Have to Win the Game,5200,390,0.0,4810
268540,The Whispered World Special Edition,1235,398,1.99,837
295730,Sweezy Gunner,186,41,3.99,145
225600,Blade Symphony,3112,1617,0.0,1495
273600,Descent: FreeSpace – The Great War,153,40,9.99,113
251630,The Impossible Game,1053,187,2.99,866
299110,Theatre Of The Absurd,197,49,4.99,148
266840,Age of Mythology: Extended Edition,23722,2090,29.99,21632
290970,1849,244,94,14.99,150
243930,Bound By Flame,2293,1083,6.99,1210
295930,Swipecart,243,289,2.99,-46
296180,Iron Storm,82,50,0.53,32
225280,Full Mojo Rampage,1032,188,6.49,844
286440,Rover Rescue,42,75,0.0,-33
261510,Tesla Effect: A Tex Murphy Adventure,1039,152,19.99,887
297020,The Culling Of The Cows,2485,866,4.99,1619
296850,Al Emmo and the Lost Dutchman's Mine,34,24,9.99,10
296530,Coldfire Keep,45,63,3.99,-18
252690,Fantasy Grounds Classic,975,235,39.99,740
244410,Supreme Ruler 1936,197,72,9.99,125
265630,Fistful of Frags,30718,2907,0.0,27811
266490,Lili: Child of Geos - Complete Edition,828,132,14.99,696
269330,Chronology,673,97,4.99,576
285420,Deadly Sin 2,91,16,4.99,75
293320,Coma: Mortuary,481,424,5.99,57
260160,The Last Tinker™: City of Colors,689,165,1.19,524
287200,Wildlife Park 3,289,204,9.99,85
296930,Ascendant,158,44,0.0,114
237970,Memento Mori 2,83,31,24.99,52
278080,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,9026,1682,49.99,7344
252550,Qbeh-1: The Atlas Cube,585,79,9.99,506
282100,Fearless Fantasy,792,260,6.99,532
268520,Orc Attack: Flatulent Rebellion,34,32,9.99,2
298140,Rhiannon: Curse of the Four Branches,83,46,4.99,37
294540,Freddi Fish 3: The Case of the Stolen Conch Shell,230,13,6.99,217
292800,Pajama Sam 3: You Are What You Eat From Your Head To Your Feet,284,8,6.99,276
284790,Nightmares from the Deep 2: The Siren`s Call,800,35,0.0,765
238460,BattleBlock Theater®,63907,1802,14.99,62105
