AppID,Name,Positive_ratings,Negative_ratings,Price,Rating_difference
359550,Tom Clancy's Rainbow Six Siege,929372,138530,19.99,790842
252490,Rust,703687,108223,39.99,595464
292030,The Witcher 3: Wild Hunt,617738,25020,39.99,592718
945360,Among Us,577656,51069,3.99,526587
381210,Dead by Daylight,494648,112924,7.99,381724
252950,Rocket League,493188,62447,0.0,430741
413150,Stardew Valley,475785,8983,14.99,466802
346110,ARK: Survival Evolved,461567,98701,29.99,362866
1245620,ELDEN RING,460812,51238,59.99,409574
304930,Unturned,443320,41385,0.0,401935
739630,Phasmophobia,441220,13579,13.99,427641
1172470,Apex Legends,415524,66608,0.0,348916
1085660,Destiny 2,403109,77006,0.0,326103
1091500,Cyberpunk 2077,391643,129925,59.99,261718
242760,The Forest,368986,18577,19.99,350409
892970,Valheim,337177,16241,19.99,320936
322330,Don't Starve Together,328702,13277,14.99,315425
239140,Dying Light,316493,16568,29.99,299925
374320,DARK SOULS III,310407,21119,59.99,289288
582010,Monster Hunter: World,306872,51885,29.99,254987
444090,Paladins,280999,47510,0.0,233489
1174180,Red Dead Redemption 2,251841,32592,29.99,219249
291550,Brawlhalla,246362,46611,0.0,199751
367520,Hollow Knight,232778,6892,14.99,225886
377160,Fallout 4,229418,53135,19.99,176283
221100,DayZ,221274,89537,44.99,131737
1172620,Sea of Thieves,210637,22585,39.99,188052
250900,The Binding of Isaac: Rebirth,201024,4749,14.99,196275
632360,Risk of Rain 2,199048,7354,24.99,191694
489830,The Elder Scrolls V: Skyrim Special Edition,198312,19722,39.99,178590
960090,Bloons TD 6,193859,4932,9.99,188927
264710,Subnautica,191795,7238,29.99,184557
1145360,Hades,190880,2662,24.99,188218
255710,Cities: Skylines,187151,13180,29.99,173971
289070,Sid Meiers Civilization VI,186295,36439,59.99,149856
648800,Raft,182819,13311,19.99,169508
322170,Geometry Dash,182534,12372,3.99,170162
275850,No Man's Sky,181803,57094,29.99,124709
814380,Sekiro: Shadows Die Twice - GOTY Edition,179498,9339,59.99,170159
976730,Halo: The Master Chief Collection,177554,13841,39.99,163713
394360,Hearts of Iron IV,175219,15155,39.99,160064
391540,Undertale,175161,6074,9.99,169087
698780,Doki Doki Literature Club!,172656,6015,0.0,166641
261550,Mount & Blade II: Bannerlord,167602,23552,49.99,144050
379720,DOOM,159063,7906,19.99,151157
477160,Human: Fall Flat,157904,8930,5.99,148974
1063730,New World,154914,73900,39.99,81014
319630,Life is Strange - Episode 1,151230,6092,0.0,145138
211820,Starbound,145902,11330,14.99,134572
427520,Factorio,145186,5216,30.0,139970
1517290,Battlefield 2042,39121,106038,29.99,-66917
1468810, Tale of Immortal,105384,103661,19.99,1723
433850,Z1 Battle Royale,115417,92764,0.0,22653
227940,Heroes & Generals,93513,46263,0.0,47250
1599340,Lost Ark,124308,44066,0.0,80242
1716740,Starfield,83406,41287,69.99,42119
1240440,Halo Infinite,106133,38163,0.0,67970
304390,FOR HONOR,80877,37476,14.99,43401
1238810,Battlefield V,82938,34383,14.99,48555
301520,Robocraft,86140,32448,0.0,53692
438100,VRChat,124156,32375,0.0,91781
1089350,NBA 2K20,30450,30445,0.0,5
424370,Wolcen: Lords of Mayhem,35262,27492,39.99,7770
311210,Call of Duty: Black Ops III,112104,27418,59.99,84686
779340,Total War: THREE KINGDOMS,64497,26725,59.99,37772
365590,Tom Clancys The Division,59837,26719,29.99,33118
1272080,PAYDAY 3,19553,26511,39.99,-6958
755790,Ring of Elysium,74490,25643,0.0,48847
552520,Far Cry 5,100620,25286,59.99,75334
291480,Warface,52847,25146,0.0,27701
12210,Grand Theft Auto IV: The Complete Edition,84223,24474,5.99,59749
1203220,NARAKA: BLADEPOINT,86893,24106,19.99,62787
397900,Business Tour - Board Game with Online Multiplayer,37445,23790,0.0,13655
388520,Call of Duty: Black Ops III,38969,23378,59.99,15591
366842,Call of Duty: Black Ops III,38921,23371,59.99,15550
594650,Hunt: Showdown,111202,22833,19.99,88369
1225330,NBA 2K21,16140,22709,59.99,-6569
435150,Divinity: Original Sin 2 - Definitive Edition,141779,5852,44.99,135927
548430,Deep Rock Galactic,138093,4679,29.99,133414
